               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.017899,           0.0053565,                   0,             0.99733,                   1,               0.995,             0.76973,            0.020475,           0.0036077,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.017835,           0.0056693,                   0,             0.99746,                   1,               0.995,             0.70601,            0.023403,           0.0036249,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.018932,           0.0048695,                   0,             0.99756,                   1,               0.995,             0.75937,             0.02228,           0.0035601,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.018313,           0.0052965,                   0,             0.99743,                   1,               0.995,             0.73232,            0.020851,           0.0035772,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.022514,           0.0065577,                   0,             0.99733,                   1,               0.995,             0.71139,            0.022336,           0.0036488,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.018519,           0.0049836,                   0,             0.99714,                   1,               0.995,             0.71119,            0.021291,           0.0036716,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.019167,           0.0077054,                   0,             0.99712,                   1,               0.995,             0.70562,            0.021749,           0.0037432,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.018685,           0.0047929,                   0,             0.99704,                   1,               0.995,             0.75752,            0.019886,           0.0037813,                   0,             0.00505,             0.00505,             0.00505
                 152,             0.01883,           0.0053116,                   0,             0.99708,                   1,               0.995,             0.71978,            0.021697,            0.003747,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.019194,           0.0049825,                   0,             0.99733,                   1,               0.995,             0.72003,            0.021778,           0.0037136,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.015611,           0.0039312,                   0,             0.99727,                   1,               0.995,             0.75552,            0.020775,           0.0037241,                   0,            0.004951,            0.004951,            0.004951
